Vehicle ID,Latitude,Longitude,Direction,Wrong side
veh171,694.3364741,2248.289556,206.0615397,TRUE
veh172,23.36091266,343.6772373,348.9223649,TRUE
veh173,74.4735096,151.1818387,168.2943154,TRUE
veh174,18.97822206,366.059566,348.9198585,TRUE
veh175,80.31197303,123.0030446,168.2943154,TRUE
veh176,670.9971437,2205.317079,209.2616917,TRUE
veh177,14.57695022,388.5342657,348.9198585,TRUE
veh178,85.79263583,94.945838,170.3492912,TRUE
veh179,11.59481912,410.9235054,353.6510402,TRUE
veh180,1345.093569,4473.225331,16.38671618,TRUE
veh181,90.57925714,66.79716194,170.3492912,TRUE
veh182,9.005798176,434.19225,353.6510402,TRUE
veh183,95.07551551,39.36312295,172.2570399,TRUE
veh184,632.2285913,2142.718222,215.6308664,TRUE
veh185,6.514123557,456.5860976,353.6510402,TRUE
veh186,1360.981186,4527.152683,16.6651604,TRUE
veh187,98.5854077,11.68948434,172.7716779,TRUE
veh188,603.3353031,2103.781433,218.1664527,TRUE
veh189,1054.053823,3377.542999,190.8243048,TRUE
veh190,1.670588917,525.5412246,359.2318601,TRUE
veh191,2.976814652,502.4071431,356.0917065,TRUE
veh192,49.91557907,852.6019468,190.1303152,TRUE
veh193,416.8794649,1905.925039,43.90506039,TRUE
veh194,1291.364304,6193.322289,346.2502535,TRUE
veh195,27.54960099,379.2427244,168.9626244,TRUE
veh196,45.38070371,827.2210913,190.1303152,TRUE
veh197,380.6593418,1850.69959,219.7579078,TRUE
veh198,436.3793938,1926.184882,43.90506039,TRUE
veh199,848.3770316,2589.667869,202.222471,TRUE
veh200,118.0830925,1290.014009,10.21947807,TRUE
veh201,32.25922984,355.097885,168.9626244,TRUE
veh202,1227.336986,4067.706125,16.01674236,TRUE
veh203,40.91186292,802.2098192,190.1303152,TRUE
veh204,837.4183156,2562.844431,202.222471,TRUE
veh205,36.85818628,331.4982565,168.9830264,TRUE
veh206,36.45441139,777.2622905,190.1303152,TRUE
veh207,342.5964492,1804.946782,219.7579078,TRUE
veh208,826.435708,2536.08879,202.769756,TRUE
veh209,128.3637204,1348.303959,9.996539989,TRUE
veh210,1423.77039,5632.944322,347.0591892,TRUE
veh211,41.56921054,307.3004121,168.9830264,TRUE
veh212,32.00449966,752.3569607,190.1303152,TRUE
veh213,494.2584074,1988.729896,42.09314539,TRUE
veh214,814.6995709,2510.698078,204.807402,TRUE
veh215,46.20755077,283.475904,168.9830264,TRUE
veh216,27.45132053,726.3629173,189.0838789,TRUE
veh217,140.0439324,1407.428975,11.76448186,TRUE
veh218,51.04966594,259.9842772,167.7957415,TRUE
veh219,1258.095589,4174.202456,16.31735228,TRUE
veh220,23.70437806,701.1446067,188.4511925,TRUE
veh221,289.9836089,1734.069255,211.8120192,TRUE
veh222,532.2861435,2031.317691,41.47945117,TRUE
veh223,790.6933583,2458.761399,204.80694,TRUE
veh224,1469.66523,5298.486067,356.791479,TRUE
veh225,56.25699858,235.9080734,167.7957415,TRUE
veh226,1265.778392,4200.446085,16.31735228,TRUE
veh227,20.06591096,675.4176344,187.2482297,TRUE
veh228,274.6195678,1709.264625,211.5911341,TRUE
